customer_id,ActivityDate,TotalSteps, TotalDistance , TotalMinutes , LoggedActivitiesDistance , VeryActiveDistance , ModeratelyActiveDistance , LightActiveDistance , SedentaryActiveDistance ,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Activity Level,DaysOfTheWeek
81,4/17/16,6175,4.06,1440,0,1.03,1.52,1.49,0.01,15,22,127,1276,1554,Active,Sunday
81,5/1/16,6132,4.46,1081,0,0.24,0.99,3.23,0,3,24,146,908,2696,Active,Sunday
81,4/24/16,6076,3.95,1440,0,1.15,0.91,1.89,0,16,18,185,1221,1617,Active,Sunday
81,4/16/16,5370,3.49,1440,0,0,0,3.49,0,0,0,176,1264,1463,Active,Saturday
81,4/15/16,5263,3.83,1440,0,0.22,0.15,3.45,0,3,4,170,1263,2750,Active,Friday
81,4/20/16,4974,3.23,1440,0,0,0,3.23,0,0,0,151,1289,1446,Active,Wednesday
81,5/5/16,4363,3.19,1440,0,0.52,0.54,2.13,0.01,6,12,81,1341,2463,Active,Thursday
81,4/22/16,4026,2.62,1440,0,0,0,2.6,0,0,0,199,1241,1470,Active,Friday
81,5/2/16,3758,2.73,838,0,0.07,0.31,2.35,0,1,7,148,682,2580,Not Active,Monday
81,4/22/16,3673,2.67,1440,0,0,0,2.66,0.01,0,0,86,1354,2344,Active,Friday
81,4/25/16,3580,2.6,1440,0,0.59,0.06,1.95,0,8,1,94,1337,2497,Active,Monday
81,5/8/16,3427,2.23,1440,0,0,0,2.22,0,0,0,152,1288,1427,Active,Sunday
81,4/24/16,3321,2.41,1440,0,0,0,2.41,0,0,0,89,1351,2413,Active,Sunday
81,4/29/16,3176,2.31,1313,0,0,0,2.31,0,0,0,120,1193,2498,Active,Friday
81,5/11/16,3134,2.04,1440,0,0,0,2.04,0,0,0,112,1328,1359,Active,Wednesday
81,4/27/16,3032,2.2,1440,0,0,0,2.2,0,0,0,118,1322,2489,Active,Wednesday
81,5/12/16,2971,1.93,997,0,0,0,1.92,0.01,0,0,107,890,1002,Not Active,Thursday
81,5/10/16,2969,1.93,1440,0,0,0,1.92,0.01,0,0,139,1301,1393,Active,Tuesday
81,4/19/16,2916,1.9,1440,0,0,0,1.9,0,0,0,141,1299,1435,Active,Tuesday
81,4/26/16,2826,1.84,1440,0,0,0,1.83,0.01,0,0,140,1300,1402,Active,Tuesday
81,4/28/16,2759,1.79,1440,0,0,0.2,1.6,0,0,5,115,1320,1401,Active,Thursday
81,5/5/16,2470,1.61,1440,0,0,0,1.58,0.02,0,0,117,1323,1370,Active,Thursday
81,4/20/16,2436,1.77,1440,0,0,0,1.76,0.01,0,0,125,1315,2430,Active,Wednesday
81,4/29/16,2390,1.55,1440,0,0,0,1.55,0,0,0,150,1290,1404,Active,Friday
81,5/4/16,2309,1.68,1440,0,0,0,1.66,0.02,0,0,52,1388,2222,Active,Wednesday
81,5/4/16,2193,1.43,1440,0,0,0,1.42,0,0,0,118,1322,1368,Active,Wednesday
81,5/7/16,2104,1.37,1440,0,0,0,1.37,0,0,0,182,1258,1474,Active,Saturday
81,5/3/16,2100,1.37,1440,0,0,0,1.34,0.02,0,0,96,1344,1334,Active,Tuesday
81,5/9/16,1732,1.13,1440,0,0,0,1.13,0,0,0,91,1349,1328,Active,Monday
81,5/6/16,1727,1.12,1440,0,0,0,1.12,0.01,0,0,102,1338,1341,Active,Friday
81,4/15/16,1510,0.98,1440,0,0,0,0.97,0,0,0,96,1344,1344,Active,Friday
81,5/11/16,1329,0.97,762,0,0,0,0.95,0.01,0,0,49,713,1276,Not Active,Wednesday
81,4/21/16,1223,0.89,1440,0,0,0,0.88,0.01,0,0,38,1402,2140,Active,Thursday
313,4/24/16,15764,11.78,841,0,7.65,2.15,1.98,0,210,65,141,425,4392,Not Active,Sunday
313,4/16/16,14269,10.66,870,0,6.64,1.28,2.73,0,184,56,158,472,4274,Not Active,Saturday
313,5/1/16,13368,9.99,943,0,5.31,1.44,3.24,0,194,72,178,499,4546,Not Active,Sunday
313,4/19/16,12574,9.42,975,0,7.02,0.64,1.76,0,108,23,111,733,3501,Not Active,Tuesday
313,4/30/16,12363,9.24,1036,0,5.83,0.79,2.61,0,207,45,163,621,4501,Active,Saturday
313,4/17/16,12231,9.14,921,0,5.98,0.83,2.32,0,200,37,159,525,4552,Not Active,Sunday
313,4/15/16,12087,9.08,1063,0,3.92,1.6,3.56,0,115,54,199,695,4005,Active,Friday
313,5/3/16,11045,8.25,897,0,4.52,0.15,3.57,0,97,8,212,580,3795,Not Active,Tuesday
313,4/21/16,10830,8.09,1029,0,3.65,1.66,2.78,0,110,74,175,670,4018,Active,Thursday
313,4/18/16,9893,7.39,899,0,4.86,0.72,1.82,0,114,32,130,623,3625,Not Active,Monday
313,4/28/16,9841,7.43,983,0,3.25,1.17,3.01,0,99,51,141,692,3580,Not Active,Thursday
313,4/22/16,9172,6.85,1115,0,2.42,0.79,3.3,0,62,30,200,823,3329,Active,Friday
313,5/10/16,8869,6.65,974,0,2.56,0.75,3.35,0,104,37,194,639,3841,Not Active,Tuesday
313,4/14/16,8596,6.42,986,0,3.33,0.31,2.78,0,118,30,176,662,4022,Not Active,Thursday
313,4/20/16,8330,6.22,989,0,4.12,0.34,1.76,0,87,16,113,773,3192,Not Active,Wednesday
313,4/12/16,8135,6.08,970,0,3.6,0.38,2.1,0,86,16,140,728,3405,Not Active,Tuesday
313,4/29/16,7924,5.92,1037,0,2.84,0.61,2.47,0,97,36,165,739,3544,Active,Friday
313,4/23/16,7638,5.71,898,0,1.21,0.36,4.14,0,24,24,223,627,3152,Not Active,Saturday
313,5/5/16,7550,5.64,1362,0,2.5,0.47,2.67,0,45,21,143,1153,3004,Active,Thursday
313,5/2/16,7439,5.56,1024,0,1.12,0.35,4.07,0,37,20,235,732,3014,Active,Monday
313,4/27/16,6805,5.14,1042,0,1.81,0.4,2.93,0,63,16,190,773,3294,Active,Wednesday
313,4/25/16,6393,4.78,1056,0,1.35,0.67,2.76,0,61,38,214,743,3374,Active,Monday
313,4/26/16,5325,3.98,1010,0,0.85,0.65,2.47,0,38,32,181,759,3088,Active,Tuesday
313,5/4/16,5206,3.89,806,0,1.56,0.25,2.08,0,25,9,141,631,2755,Not Active,Wednesday
313,4/13/16,5077,3.79,946,0,0.32,0.22,3.25,0,15,11,144,776,2551,Not Active,Wednesday
313,5/6/16,4950,3.7,1440,0,1.93,0.32,1.45,0,41,16,79,1304,2643,Active,Friday
313,5/11/16,4038,3.04,380,0,1.83,0.3,0.89,0,45,15,63,257,1665,Not Active,Wednesday
313,5/9/16,3421,2.56,1214,0,1.43,0.14,0.99,0,34,11,70,1099,2489,Active,Monday
313,5/8/16,0,0,1440,0,0,0,0,0,0,0,0,1440,1819,Active,Sunday
313,5/7/16,0,0,1440,0,0,0,0,0,0,0,0,1440,1819,Active,Saturday
366,4/27/16,18134,12.21,1440,0,6.4,0.41,5.41,0,78,11,243,1108,2159,Active,Wednesday
366,4/19/16,15506,9.88,1120,0,3.53,1.32,5.03,0,50,31,264,775,2035,Active,Tuesday
366,4/25/16,15355,9.8,1117,0,5.29,0.57,3.94,0,73,14,216,814,2013,Active,Monday
366,5/3/16,15103,9.66,1144,0,3.73,1.05,4.88,0,50,24,254,816,1990,Active,Tuesday
366,5/2/16,14727,9.71,1131,0,3.21,0.57,5.92,0,41,15,277,798,2004,Active,Monday
366,4/30/16,14673,9.25,1015,0,3.56,1.42,4.27,0,52,34,217,712,1947,Active,Saturday
366,4/23/16,14371,9.04,1056,0,2.81,0.87,5.36,0,41,21,262,732,1949,Active,Saturday
366,5/5/16,14070,8.9,1176,0,2.92,1.08,4.88,0,45,24,250,857,1959,Active,Thursday
366,4/26/16,13755,8.79,1166,0,2.33,0.92,5.54,0,31,23,279,833,1970,Active,Tuesday
366,4/12/16,13162,8.5,1094,0,1.88,0.55,6.06,0,25,13,328,728,1985,Active,Tuesday
366,4/28/16,13154,8.53,1047,0,3.54,1.16,3.79,0,48,28,189,782,1898,Active,Thursday
366,4/18/16,13019,8.59,1440,0,3.25,0.64,4.71,0,42,16,233,1149,1921,Active,Monday
366,5/11/16,12770,8.13,979,0,2.56,1.01,4.55,0,36,23,251,669,1783,Not Active,Wednesday
366,4/22/16,12764,8.13,1440,0,4.76,1.12,2.24,0,66,27,130,1217,1827,Active,Friday
366,4/16/16,12669,8.16,1040,0,2.71,0.41,5.04,0,36,10,221,773,1863,Active,Saturday
366,5/10/16,12207,7.77,1037,0,3.35,1.16,3.26,0,46,31,214,746,1859,Active,Tuesday
366,5/6/16,12159,8.03,1073,0,1.97,0.25,5.81,0,24,6,289,754,1896,Active,Friday
366,5/9/16,12022,7.72,1098,0,3.45,0.53,3.74,0,46,11,206,835,1819,Active,Monday
366,5/7/16,11992,7.71,1091,0,2.46,2.12,3.13,0,37,46,175,833,1821,Active,Saturday
366,4/29/16,11181,7.15,1086,0,1.06,0.5,5.58,0,16,12,243,815,1837,Active,Friday
366,5/4/16,11100,7.15,1440,0,2.46,0.87,3.82,0,36,22,203,1179,1819,Active,Wednesday
366,4/13/16,10735,6.97,1033,0,1.57,0.69,4.71,0,21,19,217,776,1797,Active,Wednesday
366,5/1/16,10602,6.81,1044,0,2.29,1.6,2.92,0,33,35,246,730,1820,Active,Sunday
366,4/20/16,10544,6.68,1063,0,1.96,0.48,4.24,0,28,12,205,818,1786,Active,Wednesday
366,4/14/16,10460,6.74,1440,0,2.44,0.4,3.91,0,30,11,181,1218,1776,Active,Thursday
366,5/8/16,10060,6.58,829,0,3.53,0.32,2.73,0,44,8,203,574,1740,Not Active,Sunday
366,4/24/16,10039,6.41,991,0,2.92,0.21,3.28,0,39,5,238,709,1788,Not Active,Sunday
366,4/21/16,9819,6.34,1076,0,1.34,0.35,4.65,0,19,8,211,838,1775,Active,Thursday
366,4/15/16,9762,6.28,998,0,2.14,1.26,2.83,0,29,34,209,726,1745,Not Active,Friday
366,4/17/16,9705,6.48,761,0,3.19,0.78,2.51,0,38,20,164,539,1728,Not Active,Sunday
366,5/12/16,0,0,1440,0,0,0,0,0,0,0,0,1440,0,Active,Thursday
1067,4/23/16,20031,13.24,930,0,4.2,2,7.04,0,58,41,347,484,2571,Not Active,Saturday
1067,5/10/16,15448,10.21,997,0,3.47,1.75,4.99,0,62,34,275,626,2361,Not Active,Tuesday
1067,4/20/16,13928,9.55,988,0,4.28,0.19,5.09,0,48,4,297,639,2174,Not Active,Wednesday
1067,4/25/16,13239,9.27,985,2.79,3.02,1.68,4.46,0.1,35,31,282,637,2194,Not Active,Monday
1067,4/16/16,13217,8.74,1074,0,3.66,0.19,4.88,0,50,3,280,741,2173,Active,Saturday
1067,5/2/16,12912,8.54,1025,0,1.2,2,5.34,0,18,39,313,655,2162,Active,Monday
1067,4/28/16,12627,8.35,955,0,2.51,0.24,5.59,0,38,8,288,621,2182,Not Active,Thursday
1067,5/9/16,12342,8.72,902,3.17,3.9,1.18,3.65,0,43,21,231,607,2105,Not Active,Monday
1067,5/3/16,12109,8.12,978,0,1.74,2.04,4.33,0,21,36,267,654,2072,Not Active,Tuesday
1067,4/21/16,11835,9.71,1002,4.08,3.99,2.1,3.51,0.11,53,27,214,708,2179,Active,Thursday
1067,4/18/16,11404,7.54,982,0,0.83,2.39,4.32,0,13,42,238,689,2039,Not Active,Monday
1067,4/29/16,10762,7.11,1041,0,0.82,0.48,5.81,0,12,15,369,645,2254,Active,Friday
1067,4/19/16,10742,7.1,930,0,2.1,2.13,2.87,0,35,41,195,659,2046,Not Active,Tuesday
1067,4/22/16,10725,7.09,962,0,1.77,1.55,3.77,0,30,33,240,659,2086,Not Active,Friday
1067,5/5/16,10524,6.96,932,0,0.99,1.16,4.81,0,14,22,305,591,2066,Not Active,Thursday
1067,4/26/16,10433,6.9,977,0,2.58,0.42,3.9,0,36,7,254,680,2012,Not Active,Tuesday
1067,4/27/16,10320,6.82,1021,0,0.55,2.02,4.25,0,7,38,279,697,2034,Active,Wednesday
1067,4/12/16,10199,6.74,1049,0,3.4,0.83,2.51,0,50,14,189,796,1994,Active,Tuesday
1067,5/4/16,10147,6.71,1018,0,0.47,1.68,4.55,0,15,36,284,683,2086,Active,Wednesday
1067,4/17/16,10145,6.71,947,0,0.33,0.68,5.69,0,5,13,295,634,2027,Not Active,Sunday
1067,4/30/16,10081,6.66,1016,0,2.24,0.76,3.67,0,32,16,237,731,2002,Active,Saturday
1067,5/7/16,6815,4.5,1073,0,0,0,4.5,0,0,0,328,745,1947,Active,Saturday
1067,5/11/16,6722,4.44,939,0,1.49,0.31,2.65,0,24,7,199,709,1855,Not Active,Wednesday
1067,5/6/16,5908,3.91,1016,0,0,0,3.91,0,0,0,299,717,1850,Active,Friday
1067,4/13/16,5652,3.74,722,0,0.57,1.21,1.96,0,8,24,142,548,1718,Not Active,Wednesday
1067,4/15/16,5563,3.68,1054,0,0,0,3.68,0,0,0,217,837,1756,Active,Friday
1067,5/1/16,5454,3.61,937,0,0,0,3.61,0,0,0,215,722,1740,Not Active,Sunday
1067,4/24/16,5029,3.32,919,0,0,0,3.32,0,0,0,199,720,1705,Not Active,Sunday
1067,5/8/16,4188,2.77,874,0,0,0.52,2.25,0,0,14,151,709,1659,Not Active,Sunday
1067,5/12/16,3587,2.37,240,0,0,0.25,2.11,0,0,8,105,127,928,Not Active,Thursday
1067,4/14/16,1551,1.03,948,0,0,0,1.03,0,0,0,86,862,1466,Not Active,Thursday
1684,4/23/16,15126,12.27,952,0,0.76,3.24,8.27,0,9,66,408,469,3691,Not Active,Saturday
1684,4/24/16,15050,12.22,933,0,1.2,5.12,5.88,0,15,95,281,542,3538,Not Active,Sunday
1684,5/7/16,14370,11.65,1067,0,0.37,2.31,8.97,0,5,46,439,577,3683,Active,Saturday
1684,5/8/16,12857,10.43,1345,0,0.68,6.21,3.54,0,9,125,192,1019,3287,Active,Sunday
1684,4/17/16,12692,10.29,817,0,0.96,3.46,5.88,0,12,66,302,437,3394,Not Active,Sunday
1684,4/16/16,11140,9.03,918,0,0.24,1.25,7.54,0,3,24,335,556,3328,Not Active,Saturday
1684,5/10/16,10613,8.61,1001,0,0.08,1.88,6.65,0,1,37,262,701,3172,Active,Tuesday
1684,4/30/16,10144,8.23,1031,0,0.32,2.03,5.88,0,4,36,263,728,3115,Active,Saturday
1684,4/29/16,9930,8.05,990,0,1.06,0.92,6.07,0,12,19,267,692,3165,Not Active,Friday
1684,5/11/16,9810,7.96,1070,0,0.78,2.16,4.98,0,10,41,235,784,3069,Active,Wednesday
1684,5/3/16,9454,7.67,1042,0,0,0,7.67,0,0,0,313,729,3145,Active,Tuesday
1684,4/25/16,9167,7.43,1021,0,0.49,0.82,6.11,0,6,15,270,730,3064,Active,Monday
1684,4/18/16,9105,7.38,1133,0,1.82,1.49,4.07,0,22,30,191,890,3013,Active,Monday
1684,4/28/16,9023,7.32,993,0,1.13,0.42,5.77,0,14,9,232,738,3033,Not Active,Thursday
1684,4/20/16,8793,7.13,1008,0,0.16,1.23,5.73,0,2,29,260,717,3061,Active,Wednesday
1684,5/5/16,8614,6.99,999,0,0.67,0.22,6.09,0,8,5,241,745,3006,Not Active,Thursday
1684,5/9/16,8232,6.68,1011,0,0,0.57,6.1,0,0,12,253,746,2990,Active,Monday
1684,5/4/16,8161,6.62,1027,0,0.34,0.73,5.54,0,4,15,251,757,3004,Active,Wednesday
1684,4/14/16,7860,6.37,1043,0,0,0,6.37,0,0,0,271,772,2984,Active,Thursday
1684,5/2/16,7245,5.92,1371,0,0.38,1.74,3.76,0,5,40,195,1131,2859,Active,Monday
1684,4/12/16,7213,5.88,981,0,0,0,5.85,0,0,0,263,718,2947,Not Active,Tuesday
1684,4/27/16,7047,5.72,988,0,0.09,0.8,4.78,0,1,16,238,733,2908,Not Active,Wednesday
1684,5/6/16,6943,5.63,906,0,0.08,0.66,4.87,0,1,16,207,682,2859,Not Active,Friday
1684,4/13/16,6877,5.58,1035,0,0,0,5.58,0,0,0,258,777,2898,Active,Wednesday
1684,4/19/16,6708,5.44,954,0,0.88,0.37,4.19,0,10,8,179,757,2812,Not Active,Tuesday
1684,4/21/16,6530,5.3,1090,0,0.31,2.05,2.94,0,4,41,144,901,2729,Active,Thursday
1684,4/15/16,6506,5.28,1209,0,0.07,0.42,4.79,0,1,8,256,944,2896,Active,Friday
1684,4/26/16,6108,4.95,990,0,0.07,0.35,4.54,0,1,8,216,765,2784,Not Active,Tuesday
1684,5/12/16,2752,2.23,309,0,0,0,2.23,0,0,0,68,241,1240,Not Active,Thursday
1684,4/22/16,1664,1.35,1413,0,0,0,1.35,0,0,0,72,1341,2241,Active,Friday
1684,5/1/16,0,0,1440,0,0,0,0,0,0,0,0,1440,2017,Active,Sunday
1847,5/7/16,22770,17.54,944,0,9.45,2.77,5.33,0,120,56,260,508,4022,Not Active,Saturday
1847,5/8/16,17298,14.38,899,0,9.89,1.26,3.23,0,107,38,178,576,3934,Not Active,Sunday
1847,4/23/16,13236,10.18,1027,0,4.5,0.32,5.35,0,58,5,215,749,3306,Active,Saturday
1847,5/6/16,13175,10.13,1440,0,2.11,2.09,5.93,0,33,45,262,1100,3425,Active,Friday
1847,4/25/16,12961,9.97,1397,0,0.73,1.4,7.84,0,11,31,301,1054,3288,Active,Monday
1847,5/3/16,12727,9.79,1326,0,1.13,0.78,7.88,0,18,18,306,984,3290,Active,Tuesday
1847,4/30/16,12533,9.64,894,0,0.7,2,6.94,0,14,43,300,537,3283,Not Active,Saturday
1847,5/4/16,12375,9.52,939,0,2.79,0.93,5.8,0,35,21,251,632,3162,Not Active,Wednesday
1847,4/22/16,12139,9.34,1267,0,3.3,1.11,4.92,0,77,25,220,945,3544,Active,Friday
1847,4/27/16,11193,8.61,984,0,0.7,2.51,5.39,0,11,48,241,684,3074,Not Active,Wednesday
1847,4/18/16,11009,9.1,1291,0,3.56,0.4,5.14,0,27,8,239,1017,3274,Active,Monday
1847,4/13/16,10993,8.45,1440,0,0.06,0.63,3.88,0,1,14,150,1275,3092,Active,Wednesday
1847,4/20/16,10553,8.12,985,0,1.1,1.72,5.29,0,19,42,228,696,3083,Not Active,Wednesday
1847,5/10/16,10299,7.92,942,0,0.81,0.65,6.46,0,13,14,267,648,3061,Not Active,Tuesday
1847,5/1/16,10255,7.89,847,0,1.01,0.68,6.2,0,12,15,241,579,2926,Not Active,Sunday
1847,4/24/16,10243,7.88,845,0,1.08,0.51,6.3,0,14,8,239,584,2885,Not Active,Sunday
1847,5/9/16,10218,7.86,1303,0,0.34,0.73,6.79,0,6,19,258,1020,3013,Active,Monday
1847,5/11/16,10201,7.84,1140,0,0.53,0.79,6.53,0,8,18,256,858,2954,Active,Wednesday
1847,4/19/16,10181,7.83,989,0,1.37,0.69,5.77,0,20,16,249,704,3015,Not Active,Tuesday
1847,4/12/16,10122,7.78,1440,0,0,0,0,0,0,0,0,1440,2955,Active,Tuesday
1847,5/2/16,10096,8.4,1176,0,3.77,0.08,4.55,0,33,4,204,935,3147,Active,Monday
1847,4/28/16,10074,7.75,1140,0,1.29,0.43,6.03,0,19,9,234,878,2969,Active,Thursday
1847,4/21/16,10055,7.73,1144,0,0.37,0.39,6.98,0,7,12,272,853,3069,Active,Thursday
1847,5/5/16,9603,7.38,1146,0,0.63,1.67,5.09,0,12,39,199,896,2899,Active,Thursday
1847,4/26/16,9461,7.28,934,0,0.94,1.06,5.27,0,14,23,224,673,2929,Not Active,Tuesday
1847,4/29/16,9232,7.1,1440,0,0.8,0.89,5.42,0,13,16,236,1175,2979,Active,Friday
1847,4/14/16,8863,6.82,1209,0,0.13,1.07,5.62,0,10,35,219,945,2998,Active,Thursday
1847,4/15/16,8758,6.73,1136,0,0,0,6.73,0,0,0,299,837,3066,Active,Friday
1847,4/16/16,6580,5.06,877,0,0.21,0.4,4.45,0,6,9,253,609,3073,Not Active,Saturday
1847,4/17/16,4660,3.58,922,0,0,0,3.58,0,0,0,201,721,2572,Not Active,Sunday
1847,5/12/16,3369,2.59,933,0,0,0,2.59,0,0,0,108,825,1623,Not Active,Thursday
1926,4/30/16,14560,9.41,951,0,3.12,1.04,5.24,0,42,17,308,584,2995,Not Active,Saturday
1926,5/10/16,14433,10.79,1383,0,7.11,1.2,2.45,0,72,23,106,1182,2800,Active,Tuesday
1926,4/20/16,14365,10.64,1042,0,7.64,0.45,2.54,0,87,13,145,797,2997,Active,Wednesday
1926,5/9/16,13566,9.11,1031,0,4.26,1.71,3.12,0,67,50,171,743,2960,Active,Monday
1926,5/7/16,12827,8.48,892,0,1.46,2.33,4.68,0,20,42,209,621,2739,Not Active,Saturday
1926,5/6/16,12461,8.38,1107,0,3.82,1.43,3.12,0,84,35,154,834,2924,Active,Friday
1926,5/1/16,12390,8.07,988,0,2.3,0.9,4.85,0,30,15,258,685,2730,Not Active,Sunday
1926,4/28/16,11584,7.8,1073,0,2.79,1.64,3.36,0,54,48,161,810,2862,Active,Thursday
1926,4/12/16,11317,8.41,963,0,5.27,0.15,2.97,0,59,6,153,745,2772,Not Active,Tuesday
1926,4/27/16,11107,8.34,1035,0,5.63,0.18,2.53,0,55,6,145,829,2693,Active,Wednesday
1926,5/4/16,10988,8.31,1035,0,5.28,0.12,2.9,0,45,12,135,843,2655,Active,Wednesday
1926,4/19/16,10688,7.29,931,0,3.53,1.23,2.51,0,67,69,124,671,2944,Not Active,Tuesday
1926,5/8/16,10677,7.1,901,0,2.31,1.53,3.25,0,32,27,147,695,2534,Not Active,Sunday
1926,4/26/16,10387,7.07,961,0,4.16,0.77,2.12,0,70,33,132,726,2781,Not Active,Tuesday
1926,5/3/16,10288,6.76,1006,0,2.74,0.85,3.16,0,57,36,152,761,2754,Active,Tuesday
1926,4/25/16,10091,6.82,943,0,3.75,0.7,2.37,0,69,39,129,706,2752,Not Active,Monday
1926,5/2/16,10052,6.81,968,0,3.48,0.66,2.66,0,66,26,139,737,2754,Not Active,Monday
1926,4/18/16,9827,6.71,1362,0,3.17,1.22,2.31,0,61,51,114,1136,2743,Active,Monday
1926,4/22/16,9753,6.53,1032,0,2.87,0.97,2.67,0,58,59,153,762,2846,Active,Friday
1926,5/11/16,9572,6.52,982,0,2.89,1.39,2.23,0,57,40,128,757,2735,Not Active,Wednesday
1926,4/21/16,9469,6.18,989,0,1.36,0.3,4.51,0,19,6,206,758,2463,Not Active,Thursday
1926,4/14/16,9123,6.12,1043,0,2.03,0.33,3.66,0,35,32,189,787,2734,Active,Thursday
1926,4/15/16,8585,5.67,1054,0,2.04,1.11,2.53,0,30,21,139,864,2395,Active,Friday
1926,5/5/16,8564,5.6,1440,0,1.78,0.83,2.95,0,24,14,149,1253,2386,Active,Thursday
1926,4/29/16,7881,4.95,1440,0,0.49,0.45,4,0,24,36,182,1198,2616,Active,Friday
1926,4/13/16,5813,3.62,956,0,0.56,0.21,2.84,0,31,26,155,744,2516,Not Active,Wednesday
1926,5/12/16,3789,2.56,410,0,0.38,0.27,1.89,0,5,4,58,343,1199,Not Active,Thursday
1926,4/24/16,3520,2.16,691,0,0,0,2.15,0,0,0,125,566,2049,Not Active,Sunday
1926,4/23/16,2817,1.81,1440,0,0,0,1.8,0,0,0,90,1350,1965,Active,Saturday
1926,4/16/16,31,0.01,1440,0,0,0,0.01,0,0,0,3,1437,1635,Active,Saturday
1926,4/17/16,0,0,1440,0,0,0,0,0,0,0,0,1440,1629,Active,Sunday
2035,4/23/16,12357,7.71,890,0,0,0,7.71,0,0,0,432,458,1916,Not Active,Saturday
2035,5/5/16,12167,7.54,954,0,0,0,7.54,0,0,0,475,479,1926,Not Active,Thursday
2035,5/9/16,10685,6.62,944,0,0,0,6.6,0,0,0,401,543,1869,Not Active,Monday
2035,5/12/16,8891,5.51,673,0,0,0,5.51,0,0,0,343,330,1364,Not Active,Thursday
2035,5/11/16,8580,5.32,899,0,0,0,5.32,0,0,0,330,569,1698,Not Active,Wednesday
2035,5/6/16,8198,5.08,894,0,0,0,5.08,0,0,0,383,511,1736,Not Active,Friday
2035,4/29/16,7604,4.71,844,0,0,0,4.71,0,0,0,352,492,1692,Not Active,Friday
2035,4/20/16,7222,4.48,950,0,0,0,4.48,0,0,0,327,623,1667,Not Active,Wednesday
2035,5/2/16,7018,4.35,1071,0,0,0,4.35,0,0,0,355,716,1690,Active,Monday
2035,5/4/16,6564,4.07,875,0,0,0,4.07,0,0,0,345,530,1658,Not Active,Wednesday
