id,SleepDay, HoursAsleep , HoursTotal 
3200,5/11/16,6.13,6.45
3200,5/12/16,8.27,9.1
9665,4/12/16,7.63,8.22
9665,4/13/16,8.85,9.2
9665,4/14/16,8.1,8.38
9665,4/15/16,6.05,6.28
9665,4/20/16,8.8,9.12
9665,4/22/16,6.52,6.78
9665,4/23/16,5.65,6
9665,4/27/16,7.05,7.13
9665,4/28/16,6.7,6.93
9665,4/29/16,6.63,6.77
9665,4/30/16,5.72,6
9665,5/1/16,8.38,8.78
9665,5/2/16,6.92,7.05
9665,5/3/16,8.6,9.08
9665,5/4/16,7.32,7.72
